zero guess, init one and orthonormalize it.
initializing a...
a size = 1000, 1000

LOBPCG iter starts with max_iter = 1000 and tolerance = 1e-06
----------------------------------------------------------------------
iter#       root         eigenvalues         residuals           converged  
0           0            2.44912             7.8058              0          
0           1            4.00897             11.8654             0          
0           2            5.38755             13.3062             0          
0           3            7.63824             16.948              0          
0           4            8.68719             19.1409             0          
0           5            11.5377             23.7994             0          
0           6            12.3657             28.3861             0          
0           7            14.198              26.9237             0          
0           8            16.7195             29.7487             0          
0           9            19.3964             32.2166             0          
0           10           21.546              36.652              0          
0           11           22.932              39.1599             0          
0           12           28.3471             39.3724             0          
0           13           28.8401             39.8273             0          
0           14           32.4209             47.6392             0          
0           15           41.5866             52.7893             0          
0           16           42.7279             55.7327             0          
0           17           44.5453             54.8239             0          
0           18           46.5734             58.3847             0          
0           19           49.4562             60.6621             0          

1           0            1.87054             0.403057            0          
1           1            3.00352             0.629622            0          
1           2            4.02318             0.89017             0          
1           3            5.04493             1.92885             0          
1           4            6.0401              1.79735             0          
1           5            7.05238             2.28076             0          
1           6            8.05391             2.44215             0          
1           7            9.11533             3.68092             0          
1           8            10.1373             4.06662             0          
1           9            11.312              5.44387             0          
1           10           12.2485             5.30985             0          
1           11           13.4604             6.45523             0          
1           12           14.9597             10.6965             0          
1           13           16.6861             9.70247             0          
1           14           17.1769             11.3641             0          
1           15           18.8295             10.0086             0          
1           16           21.1032             17.944              0          
1           17           21.6006             14.1476             0          
1           18           23.6772             15.9676             0          
1           19           24.3947             15.0716             0          

2           0            1.8694              0.00933038          0          
2           1            3.00048             0.0209802           0          
2           2            4.01772             0.0431054           0          
2           3            5.01688             0.116312            0          
2           4            6.01368             0.156925            0          
2           5            7.01087             0.209989            0          
2           6            8.00869             0.238508            0          
2           7            9.00814             0.446255            0          
2           8            10.0073             0.546862            0          
2           9            11.0116             1.02116             0          
2           10           12.0062             0.714175            0          
2           11           13.0238             1.70706             0          
2           12           14.0309             1.94987             0          
2           13           15.1669             4.30493             0          
2           14           16.0641             2.57764             0          
2           15           17.1811             4.49322             0          
2           16           18.0803             3.15907             0          
2           17           19.2267             5.17912             0          
2           18           20.3334             6.32096             0          
2           19           21.6515             5.80844             0          

3           0            1.8694              0.000150886         0          
3           1            3.00048             0.000401549         0          
3           2            4.01771             0.00120695          0          
3           3            5.01681             0.00416324          0          
3           4            6.01352             0.00785738          0          
3           5            7.01061             0.0123724           0          
3           6            8.00839             0.0141558           0          
3           7            9.00674             0.0370196           0          
3           8            10.0055             0.0427306           0          
3           9            11.0046             0.106668            0          
3           10           12.0038             0.0575726           0          
3           11           13.0035             0.216143            0          
3           12           14.0032             0.278902            0          
3           13           15.006              0.827376            0          
3           14           16.0033             0.493125            0          
3           15           17.0079             1.03868             0          
3           16           18.0038             0.601399            0          
3           17           19.0069             1.0241              0          
3           18           20.0108             1.37419             0          
3           19           21.0594             2.95404             0          

4           0            1.8694              1.59512e-06         1          
4           1            3.00048             6.30683e-06         1          
4           2            4.01771             2.52446e-05         1          
4           3            5.01681             0.000116399         0          
4           4            6.01352             0.000244904         0          
4           5            7.01061             0.000512221         0          
4           6            8.00839             0.000704899         0          
4           7            9.00673             0.00200751          0          
4           8            10.0055             0.00227323          0          
4           9            11.0046             0.00721899          0          
4           10           12.0038             0.00503771          0          
4           11           13.0033             0.0171286           0          
4           12           14.0028             0.0263774           0          
4           13           15.0025             0.0967928           0          
4           14           16.0021             0.0489974           0          
4           15           17.002              0.146713            0          
4           16           18.0017             0.0806614           0          
4           17           19.0016             0.125685            0          
4           18           20.0016             0.20021             0          
4           19           21.0025             0.498738            0          

5           0            1.8694              1.59512e-06         1          
5           1            3.00048             6.30683e-06         1          
5           2            4.01771             2.52446e-05         1          
5           3            5.01681             3.44291e-06         1          
5           4            6.01352             8.80137e-06         1          
5           5            7.01061             2.04753e-05         1          
5           6            8.00839             3.58767e-05         0          
5           7            9.00673             0.000100338         0          
5           8            10.0055             0.000128986         0          
5           9            11.0045             0.000529317         0          
5           10           12.0038             0.000460674         0          
5           11           13.0033             0.00180941          0          
5           12           14.0028             0.00218666          0          
5           13           15.0024             0.0104534           0          
5           14           16.0021             0.00727502          0          
5           15           17.0019             0.0200858           0          
5           16           18.0017             0.0159917           0          
5           17           19.0015             0.0242543           0          
5           18           20.0014             0.0413142           0          
5           19           21.0013             0.0801267           0          

6           0            1.8694              1.59512e-06         1          
6           1            3.00048             6.30683e-06         1          
6           2            4.01771             2.52446e-05         1          
6           3            5.01681             3.44291e-06         1          
6           4            6.01352             8.80137e-06         1          
6           5            7.01061             2.04753e-05         1          
6           6            8.00839             1.93465e-06         1          
6           7            9.00673             7.15391e-06         1          
6           8            10.0055             1.22246e-05         1          
6           9            11.0045             4.32071e-05         0          
6           10           12.0038             5.58562e-05         0          
6           11           13.0033             0.000222483         0          
6           12           14.0028             0.000309874         0          
6           13           15.0024             0.00141168          0          
6           14           16.0021             0.00133292          0          
6           15           17.0019             0.00371279          0          
6           16           18.0017             0.00393399          0          
6           17           19.0015             0.00665528          0          
6           18           20.0014             0.0104075           0          
6           19           21.0012             0.0215127           0          

7           0            1.8694              1.59512e-06         1          
7           1            3.00048             6.30683e-06         1          
7           2            4.01771             2.52446e-05         1          
7           3            5.01681             3.44291e-06         1          
7           4            6.01352             8.80137e-06         1          
7           5            7.01061             2.04753e-05         1          
7           6            8.00839             1.93465e-06         1          
7           7            9.00673             7.15391e-06         1          
7           8            10.0055             1.22246e-05         1          
7           9            11.0045             6.00871e-06         1          
7           10           12.0038             5.39913e-06         1          
7           11           13.0033             2.84935e-05         1          
7           12           14.0028             4.51956e-05         0          
7           13           15.0024             0.000309906         0          
7           14           16.0021             0.00019707          0          
7           15           17.0019             0.000811245         0          
7           16           18.0017             0.000801032         0          
7           17           19.0015             0.00147249          0          
7           18           20.0014             0.00292359          0          
7           19           21.0012             0.0056566           0          

8           0            1.8694              1.59512e-06         1          
8           1            3.00048             6.30683e-06         1          
8           2            4.01771             2.52446e-05         1          
8           3            5.01681             3.44291e-06         1          
